Name,Original Entry Timestamp,Verified Timestamp,Description,Services,Phone Numbers,State,City,Location
waseem gases,,2021-04-23 22:23:52.000,near shaheen bagh police sttn,Oxygen,['+919810114388'],Delhi,,
Oxygen concentrator,,2021-04-23 22:23:52.000,Delhi,Oxygen,['+919810180710'],Delhi,,
Kalka Health Solutions,,2021-04-22 14:42:54.979,,Oxygen,,Delhi,,
Hemkunt foundation,,2021-04-23 23:22:53.000,Oxygen cylinders can be refilled,Oxygen,['+919810376333'],Delhi,,
Madan Lal Agarwal,,2021-04-23 22:23:52.000,"Bhawana road, Pooth",Oxygen,"['+919810347971', '+918851301991']",Delhi,,
-,,2021-04-29 10:56:35.616,"Okhla Oxygen concentrators expected next Tuesday. Location: Phase 1, Okla",Oxygen,['+919810402286'],Delhi,,
Kamalijeet Singh ,,2021-04-23 23:22:53.000,Will arrange cylinder for oxygen level below 80 only with video proof,Oxygen,['+919810458567'],Delhi,,"IIT GATE, SOUTH DELHI"
Rama Gases - Gas refilling,,2021-04-23 22:23:52.000,"DDA Colony, Chowkhandi Road, Khyala - New Delhi",Oxygen,"['+919810468781', '+919810468787']",Delhi,,
Dr. CC Khakha,,2021-04-23 22:23:52.000,near ESI Okhla,Oxygen,['+919810511081'],Delhi,,
Caresworth Healthcare,,2021-04-23 23:22:53.000,Concentrator,Oxygen,['+919810525762'],Delhi,,E-116 B near hansraj school dilshad garden new delhi
shivani home health care Pvt ltd,,2021-04-23 23:22:53.000,Icu set up at home,Oxygen,['+919810526521'],Delhi,,Gurgaon
,,2021-04-23 23:22:53.000,oxygen refill,Oxygen,['+919810747222'],Delhi,,Rohini
Oxygen Cylinder,,2021-04-23 22:23:52.000,"Jamia, Okhla, Shaheen Bagh",Oxygen,"['+919810915637', '+919810114388']",Delhi,,
Oxygen cylinder,,2021-04-23 22:23:52.000,Gurgaon,Oxygen,['+919811019896'],Delhi,,
Abhishek ,,2021-04-23 23:22:53.000,OUT OF STOCK TILL FURTHER NOTICE,Oxygen,['+919811043229'],Delhi,,"Jangpura,South Delhi"
Shubham Bhawana,,2021-04-22 14:42:54.979,(whatsapp only) - verified at 1:41 pm on 21/04/2021,Oxygen,['+919811065716'],Delhi,,
Oxygen cylinder,,2021-05-01 10:40:43.904,Sultanpuri Expects portable cans tomorrow that is May 2nd but cannot give location until he knows which of his godowns it will go to. Maybe Rohini.,Oxygen,['+919811169579'],Delhi,,
Simrat Veerjj,,2021-04-23 23:22:53.000,,Oxygen,['+919811504547'],Delhi,,"Model Town, North Delhi"
shankar gases,,2021-05-01 10:37:41.852,refill ,Oxygen,['+919811615113'],Delhi,,"opposite kalra hospital moti nagar, new delhi"
kanchan singh,,2021-04-23 22:23:52.000,,Oxygen,['+919811663440'],Delhi,,
Oxygen cylinder refill,,2021-05-01 06:08:10.969,"Oxygen refill available at E 37, Moti Nagar ",Oxygen,['+919811664455'],Delhi,,
Simranjeet Singh,,2021-05-01 10:35:53.833,Faridabad Doesn't have at the moment but expects in the next few days.,Oxygen,['+919818059334'],Delhi,,
Adv. Sagar Arora,,2021-04-23 22:23:52.000,"B 93, Mayapuri phase 1, West Delhi",Oxygen,['+919818523359'],Delhi,,
NGO,,2021-04-23 22:23:52.000,Delhi,Oxygen,['+919818798178'],Delhi,,
Oxygen,,2021-04-23 22:23:52.000,"Vinayak Apartments, Sector 10 Dwarka",Oxygen,['+919818798980'],Delhi,,
Vaibhav Oxygen,,2021-04-23 22:23:52.000,Badarpur,Oxygen,['+919871979337'],Delhi,,
Sarang,,2021-04-30 09:24:37.076,Sarang is the name of the person who verified this contact. Owner of this number says to whatsapp Hemkunt Foundation's official number +919990691313,Oxygen,"['+919873292242', '+919990691313']",Delhi,,
Amba Oxygen,,2021-04-23 22:23:52.000,Sudershan Park - New Delhi,Oxygen,"['+919891211680', '+919312965950']",Delhi,,
,,2021-04-23 23:22:53.000,oxygen kit availablle,Oxygen,['+919891332403'],Delhi,,
Delhi Oxygen,,2021-04-23 22:23:52.000,Delhi,Oxygen,['+919891797777'],Delhi,,
,,2021-04-23 23:22:53.000,refill,Oxygen,['+919891828453'],Delhi,,darya ganj moti mahal restaurant streets
Cylinder & Cans,,2021-04-29 16:14:28.410,  ,Oxygen,['+919899233554'],Delhi,,
Shahil Arora,,2021-04-23 23:22:53.000,concentrator,Oxygen,['+919899508474'],Delhi,,
oxygen cans,,2021-05-01 10:20:28.974, ,Oxygen,['+919899601255'],Delhi,,
Oxygen Refill,,2021-04-23 22:23:52.000,Chandni Chowk,Oxygen,['+919899642950'],Delhi,,
United for Humanity,,2021-05-05 06:06:40.621,1 patient can get 2 oxygen cans. Call/WhatsApp them to check for availability. ,Oxygen,['+919899907896'],Delhi,,
Oxygen,,2021-04-23 22:23:52.000,Janakpuri,Oxygen,['+919910295808'],Delhi,,
oxygen cylinder,,2021-04-23 22:23:52.000,Kamla nagar,Oxygen,['+919910391898'],Delhi,,
Empty cylinder,,2021-04-23 22:23:52.000,Delhi,Oxygen,['+919910391900'],Delhi,,
Sunil Gupta,,2021-04-23 22:23:52.000,"83/3, street number 3, Krishna nagar, Safdarung enclave",Oxygen,['+919910481197'],Delhi,,
,,2021-04-23 23:22:53.000,They expect a supply by monday (26.04.21),Oxygen,['+919910830636'],Delhi,,Noida Medical Center
upkar singh,,2021-04-23 22:23:52.000,,Oxygen,['+919911111313'],Delhi,,
Rajesh Dua,,2021-04-23 22:23:52.000,"Najafgarh road, Metro Pillar no. 712, Mahindru hospital",Oxygen,['+919911583189'],Delhi,,
Gini,,2021-04-23 23:22:53.000,concentrator,Oxygen,['+919940240807'],Delhi,,
Vinayak oxygen,,2021-05-03 06:49:17.234,Only refill. Long queue for refilling. Might beed to wait for a day to get cylinder refilled. Price Rs. 25/kg. Patient's covid report and aadhar card required,Oxygen,['+919953545358'],Delhi,,
Orbit Gases,,2021-04-23 22:23:52.000,"A-16, Naraina Industrial Area, Phase I, Delhi",Oxygen,['+919953606224'],Delhi,,
,,2021-04-23 23:22:53.000,oxygen cylinders,Oxygen,['+919953696969'],Delhi,,Delhi NCR
Oxygen,,2021-04-23 22:23:52.000,Rajouri Garden,Oxygen,['+919958380877'],Delhi,,
Shiv medicos oxygen concentrator,,2021-04-23 22:23:52.000,,Oxygen,['+919971868069'],Delhi,,
HEMKUNT FOUNDATION,,2021-04-26 13:24:46.539,Gurgaon,Oxygen,['+919987639337'],Delhi,,
True sewa,,2021-04-23 23:22:53.000,portable cans available,Oxygen,['+919990461846'],Delhi,,
Aman Singh,,2021-04-27 17:40:39.608,oxy kit available,Oxygen,['+919999061090'],Delhi,,
,,2021-04-23 23:22:53.000,only refill,Oxygen,['+919999091014'],Delhi,,A-16 Naraina Industrial area Phase 1
Vinayak Enterprise,,2021-04-23 22:23:52.000,Dilshad garden,Oxygen,['+919999209940'],Delhi,,
Oxygen. cylinder,,2021-04-23 22:23:52.000,"Gk 1, South Delhi",Oxygen,['+919999259390'],Delhi,,
Oxygen concentrator,,2021-04-28 06:20:30.207,Delhi,Oxygen,['+919999395783'],Delhi,,
Anshul Gupta,,2021-04-23 23:22:53.000,Free oxygen cylinders to patients who are 60+,Oxygen,['+919999398505'],Delhi,,Model Town Ashok Vihar
Rajori garden,,2021-04-23 22:23:52.000,"Rajori Garden, West delhi",Oxygen,['+919999445542'],Delhi,,
,,2021-05-01 10:07:01.703,Cylinder available ,Oxygen,['+919999474882'],Delhi,,Delhi
Deej Bedi,,2021-04-23 22:23:52.000,Subash nagar,Oxygen,['+919999605639'],Delhi,,
Syed Abrar Ali,,2021-04-22 14:42:54.979,Can refill empty cylinders. Does not have cylinders to give - verified 4.00pm 21/4/21,Oxygen,['+919999690269'],Delhi,,
Oxygen refill,,2021-04-23 22:23:52.000,Okhla,Oxygen,['+919999738356'],Delhi,,
Oxygen Concentrators,,2021-04-23 22:23:52.000,"SHRI RAM SURGICAL AND MEDICO SHOP NO. 1581/1, Ground Floor, Bhagirath Palace, Chandni Chowk, Delhi-6",Oxygen,['+919999794479'],Delhi,,
Gangadeep,,2021-04-23 22:23:52.000,,Oxygen,['+919999801332'],Delhi,,
Oxygen Provider (only gas),,2021-04-23 22:23:52.000,,Oxygen,"['+919999869483', '+919899435380', '+917947211053']",Delhi,,
Sewa Bharti Hospital ,,2021-04-29 16:23:35.081,  Phone auto reject,Blood / Plasma,['+918010066066'],Delhi,,
Sahil,,2021-05-05 14:20:13.057,  Switched off Can donate to any blood group,Blood / Plasma,['+919560947870'],Delhi,,
Srikanth O+,,2021-05-05 06:06:49.751,  Phone auto reject ,Blood / Plasma,['+919700655144'],Delhi,,
Ravi Chopra ,,2021-05-02 09:20:33.761,all blood groups available/replacement basis Not responding to messages,Blood / Plasma,['+919810024272'],Delhi,,
NDTV Plasma Initiative,,2021-05-09 04:44:17.282,feedback@ndtv.com ,Blood / Plasma,['+919910668811'],Delhi,,
Sunny Khera (CM representative) ,,2021-05-09 04:44:21.748,  ,Blood / Plasma,"['+919999992492', '+919999992492']",Delhi,,
Rishabh 8288949019,,,Call 7829980066. This is MYLAN Pharma. They deliver directly to hospital pharmacy.  Give them a miss call. They'll call back to confirm hospital's pharmacist name and contact.  ; Medicine name: Remdesivir,Medicine,"['+917829980066', '+917829980066']",Delhi,,
 NOVACARE HEALTHCARE,,2021-04-29 15:30:54.732,"Mayapuri Industrial AreaA 7 2nd FloorPhase IINew Delhi,Delhi,110064  ; Medicine name: Remdesivir",Medicine,['+918860074107'],Delhi,,
BRITISH MEDIDEALS,,2021-04-29 15:30:57.923,   ; Medicine name: Remdesivir,Medicine,['+919810699965'],Delhi,,
SUNNYCO,,2021-04-29 15:30:49.368,"E-99-98-81, (LGF),LAJPAT NAGAR 1,DELHI,110024 sunnyco99@bol.net.in - 9899788709  ; Medicine name: Remdesivir",Medicine,"['+919899788707', '+919899788709']",Delhi,,
Gurgaon oxygen,,2021-04-26 18:50:30.350,Gurgoan,Oxygen,['+917838240749'],Haryana,,
Lakshmi Carbide,,2021-04-27 10:31:06.288,"Ambala, Hary- ana",Oxygen,['+919034033333'],Haryana,,
Aggrawal Gases & Industries,,2021-05-01 09:59:29.834,"Bawal, Rewari Phone is switched off",Oxygen,['+919416341441'],Haryana,,
Godharmic NGO - WhatsApp only (Kaushal Totla),,2021-05-01 11:20:34.937,Gurgaon Out of stock. Doesn't know when there will be supply.,Oxygen,['+919624233341'],Haryana,,
Gupta Oxygen,,2021-04-23 22:23:52.000,"Hisar, Haryana",Oxygen,['+919812009352'],Haryana,,
Jitendra Vashist,,2021-04-28 06:24:29.448,Gurgaon,Oxygen,['+919818090824'],Haryana,,
Gupta Industrial Gases Pvt. Ltd.,,2021-04-23 22:23:52.000,"Hisar, Haryana",Oxygen,['+919996322100'],Haryana,,
Divya Air Product,,2021-04-23 22:23:52.000,Sonepat Hary- ana,Oxygen,['+919996815222'],Haryana,,
Hemkunt foundation,,2021-04-27 16:01:07.335,Gurgaon,Oxygen,['+919999061090'],Haryana,,
Aditya Gases,,2021-04-23 22:23:52.000,"Panipat, Hary- ana",Oxygen,['+919999829226'],Haryana,,
Dr Abhishek Khosla,,2021-04-24 15:46:55.037,,Medicine,,Haryana,,
Devkamal Hospital,,2021-05-01 07:50:27.870,No beds available right now. But keep checking.,Hospital Beds,['+917808782978'],Jharkhand,,
Samford Hospital,,2021-05-01 07:49:20.150,No beds available right now. But keep checking. Alternate number: 7992301930,Hospital Beds,"['+918840279687', '+917992301930']",Jharkhand,,
Dr Dinesh,,2021-04-26 08:47:31.801,,Hospital Beds,,Jharkhand,,
Raunit Ranjan,,2021-04-26 08:46:24.310,,Medicine,,Jharkhand,,
Kaya Hospital,,2021-05-18 16:22:46.204,"icu beds, oxygen available, call to confirm before reaching hospital. Verified on 26/04/2021, 14:00:00 It is in Gwalior",Hospital Beds,['+918770370287'],Madhya Pradesh,,
Amritansh Sachdeva,,2021-04-26 16:56:39.838,,Food,,Madhya Pradesh,,
Manish Rajput ,,2021-04-29 08:37:36.727,"Fabiflu available at kapil Medical store,Anand Nagar,Bhopal Contact no:-9131396034  ",Medicine,"['+917869173830', '+919131396034']",Madhya Pradesh,,
Jainam Oxygen Company,,2021-04-23 22:23:52.000,Richhai,Oxygen,['+916260115625'],Madhya Pradesh,,
Rewa Gases Pvt. Ltd.,,2021-04-23 22:23:52.000,Waidhan P. O.,Oxygen,['+917987555260'],Madhya Pradesh,,
Munish Rawat,,2021-04-23 22:23:52.000,Gwalior,Oxygen,['+919009965032'],Madhya Pradesh,,
Narendra Patidar,,2021-04-23 22:23:52.000,Indore,Oxygen,['+919425056939'],Madhya Pradesh,,
Oxygen cylinder,,2021-04-23 22:23:52.000,Jabalpur,Oxygen,['+919763522384'],Madhya Pradesh,,
Oxygen filling,,2021-04-23 22:23:52.000,Indore,Oxygen,['+919826500599'],Madhya Pradesh,,
Mayur Shah,,2021-04-27 17:46:55.632,"Pithampur, Mittal Corp. Ltd. , Unit 1, Plot no. 159, Sector-3, Near Pratap Steel Chauraha",Oxygen,['+919826965666'],Madhya Pradesh,,
Sanjay Gupta Oxygen Cylinder,,2021-04-29 08:40:02.261,Gwalior and other cities in MP ,Oxygen,['+919827072999'],Madhya Pradesh,,
Md. Munis,,2021-04-27 15:44:51.278,,Oxygen,['+919893475786'],Madhya Pradesh,,
Kamal Agencies,,2021-04-20 11:33:00.000,"6/A, REHMAT MARKETNEAR GHORA NIKKASBUS STAND, BHOPAL (M.P.), BHOPAL,462001 ; Medicine name: Remdesivir",Medicine,['+919893374031'],Madhya Pradesh,,
Sparsh Hospital,,2021-04-22 14:42:54.979,,Hospital Beds,,Rajasthan,,
Asian Superspecialty,,2021-04-22 14:42:54.979,Jaipur - No oxygen beds or ventilators,Hospital Beds,['+919309444444'],Rajasthan,,
NIMS Medical College,,2021-04-22 14:42:54.979,"Jaipur - Oxygen beds, no ventilator",Hospital Beds,['+919602901829'],Rajasthan,,
Anand Gases ,,2021-04-23 11:56:05.526,,Oxygen,,Rajasthan,,
Salasar Carbonics,,2021-04-23 11:56:09.995,,Oxygen,,Rajasthan,,
vijay,,2021-04-23 15:05:21.182,Age 59 Ajmer DOR:12/08/2020 Blood Group A+ verified 23rd April,Blood / Plasma,['+919530399703'],Rajasthan,,
udit,,2021-04-23 15:05:24.690,Age 25 Blood Group B+,Blood / Plasma,['+919772559342'],Rajasthan,,
ganesh,,2021-04-23 15:05:27.899,Age 26 Tonk Blood Group A+,Blood / Plasma,['+919875139330'],Rajasthan,,
Muzaffarnagar med college,,,Muzaffarnagar medical college ; Notes: Ambulance Services,Other,['+917617589023'],Uttar Pradesh,,
Akash Shashikumar Swami,,,Muzaffarnagar medical college,Hospital Beds,['+917617589022'],Uttar Pradesh,,
 Career Institute of Medical Science,,2021-05-01 09:44:51.257,  Call not attended. Tried x 3 times,Hospital Beds,"['+918318527150', '+918318527150']",Uttar Pradesh,,
 Green City Hospital,,2021-05-01 09:48:42.640,  No hospital beds available right now due to lack of oxygen supply. Not accepting patients today.,Hospital Beds,"['+918400000784', '+918400000784']",Uttar Pradesh,,
Sanjeevani Medical Centre,,2021-04-22 14:42:54.979,,Hospital Beds,,Uttar Pradesh,,
 Advanced Neuro and General Hospital,,2021-05-01 09:57:49.091,  16 Beds expected to be arranged within 4 hours from now (03:27PM on 01-May-21),Hospital Beds,"['+919415022002', '+919415022002']",Uttar Pradesh,,
 Jaankipuram Vistar,,2021-04-27 17:54:58.962,,Hospital Beds,,Uttar Pradesh,,
 Avon Hospital,,2021-05-01 10:01:57.177,  All oxygen beds are full as of now. O2 supply available.,Hospital Beds,"['+919450374007', '+919450374007']",Uttar Pradesh,,
 Sri Sai Life Hospital,,2021-05-01 12:06:33.267,  3 Beds will be available by EOD. Oxygen available.,Hospital Beds,"['+919450407843', '+919450407843']",Uttar Pradesh,,
 Alambagh,,2021-04-27 17:56:02.397,,Hospital Beds,,Uttar Pradesh,,
 Fahmina Hospital,,2021-04-22 14:42:54.979,,Hospital Beds,,Uttar Pradesh,,
 Annapurna Tiffin Service,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Pakhi's Kitchen,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Apna Dhaba,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Vishwas Khand,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Sai Tiffin Service,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Sumit Tiffin Service,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Rasoi waala restaurant,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Tiffin Time,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Rajajipuram,,2021-04-27 15:09:03.430,,Food,,Uttar Pradesh,,
 Prithvi's Annapoorna Rasoi,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Punjani Kukkad,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Maa ki Rasoi,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Parul's Gramophone,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Vishal Khand,,2021-04-27 15:35:18.096,,Food,,Uttar Pradesh,,
 Food4U,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Suaadika Home Kitchen,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
Maa Durgma Restaurant,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 AmitaTiffin,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Awasthi Bhojanalay,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
 Fahmina Hospital,,2021-04-27 17:58:14.916,,Food,,Uttar Pradesh,,
 Best Rasoi,,2021-04-22 14:42:54.979,,Food,,Uttar Pradesh,,
shukla parul,,2021-04-26 01:17:29.526,,Medicine,,Uttar Pradesh,,
Divya Arora,,2021-04-27 08:19:27.378,Home collection for RTPCR Tests,Medicine,['+917522886828'],Uttar Pradesh,,
Divya Arora,,2021-04-27 08:33:49.181,"Home collection for RTPCR Tests  Home RTPCR test (Verified Numbers)  07007592788 - Rs. 1500/- per head. Report Next day.  09935885951 - Rs. 1800/- per head, Report next day  07388889808 - Rs. 1450/- per head. Report next day.  08299478053 - Helix labs - Dr Ajmal Khan -  Rs. 900/- to Rs. 1000/- per head. Report in 24 to 48 hours.  09870319958 -(Naseem) - Rs. 1300/-, Report in 48 to 72 hours. If urgent, can give report in 24 hours also.  07785871876 - Dr. Lal Path Lab- Book online - Rs. 900 per head  08707428474 - Chandan Diagnostic - Rs. 1100 per person, Report in 72 hours. Areas covered - Indira Nagar, Gomti Nagar,  Chinhat, Aliganj, and nearby areas.",Medicine,"['+917522886838', '+917007592788', '+919935885951', '+917388889808', '+918299478053', '+919870319958', '+917785871876', '+918707428474']",Uttar Pradesh,,
Akash Shashikumar Swami,,,"Please DM @manojmridul & @93mohini  for cylinder refill, on twitter.",Oxygen,[],Uttar Pradesh,,
 Pratham Enterprises,,2021-05-03 08:10:55.938,"  This place is in Nishat Gunj, New Market, shop 28, Oxygen cans available from tomorrow. Call 9935384236 ",Oxygen,"['+917235807158', '+917235807158', '+919935384236']",Uttar Pradesh,,
 Sarang Gas,,2021-05-21 08:59:28.072,  Oxygen refilling available.,Oxygen,"['+917379854888', '+917379854888']",Uttar Pradesh,,
 Bhupendra,,2021-05-21 09:11:20.917,   ,Oxygen,"['+917844038913', '+917844038913']",Uttar Pradesh,,
 Sandeep,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Javed,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Sahil Bharadwaj,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
Vivek Kumar,,2021-05-08 20:23:27.017,"पोर्टेबल ऑक्सीजन कैन हमारे पास उपलब्ध है।  जिन्हें अभी जरूरत है वही लोग संपर्क करे अन्यथा एडवांस में लेके रखने के लिए संपर्क न करे।  #Khalilabad, #Basti के लोग संपर्क  करे या whatsap करे - 8182836106 #Gorakhpur के लोग संपर्क करे - 8887564756 #OxygenCylinder #CovidHelp This number is on and they are providing oxygen cans at genuine price in Gorakhpur Khalilabad and Basti Reasons.",Oxygen,"['+918182836106', '+918182836106', '+918887564756']",Uttar Pradesh,,
 Ubaid,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Tanmay Bansal,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Portable cylinder,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Ravi,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 MurariGas,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Salim,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
Oxygen Cylinder,,2021-05-01 12:16:00.000,"Will be available from 2/05 Only WhatsApp for inquires, do not call",Oxygen,['+918595692362'],Uttar Pradesh,,
 Sujeet oxygen,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Saeed Abbas,,2021-04-27 13:15:00.028,,Oxygen,,Uttar Pradesh,,
Vikas Nagar Oxygen,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Pratyush,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Oxygen wala,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Pawan Singh Refil,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Hazarat ganj,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Jumbo Jet Oxygen,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Abdul Saboor,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Vasu Gas,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Vasu,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 oxygen cans,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Oxygen Cans,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Prateek,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Atul,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Murari gas,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Sai Traders,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Oxygen cylinder at chowk,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Awadh Gas Lucknow,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Ali Agha,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Nitin,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Prashant Gupta,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Sripriya Mishra,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Ajay Mishra,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Shubham Oxygen,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Rudransh Arora,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Raghav Oudh Oxygen,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Rudraksh Cylinder,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Parerhat Gas,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Matrix Health Care,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 oxygen cylinder,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Jagat Gas,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Ankur Gas,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Ashirwad Medical,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Ayush Oxygen,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Kaushal Katiyar,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Emergency oxygen cylinders,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Gokul Agency,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
 Rohan Arora,,2021-04-27 14:12:11.970,,Oxygen,,Uttar Pradesh,,
 Manoj Gas,,2021-04-22 14:42:54.979,,Oxygen,,Uttar Pradesh,,
Srishti Singh,,2021-04-28 07:40:21.790,,Blood / Plasma,,Uttar Pradesh,,
Amit Radhey,,2021-04-28 17:06:30.033,Oxygen can is available. 9L can for approx Rs. 400 It is available. Personally verified.,Oxygen,['+918630612500'],Uttarakhand,,
M T C (India) Gases,23-Apr-2021 4:56 PM,,,Oxygen,['+919002120037'],Assam,,734001
Ashim Mohanta,4/23/2021 11:55 AM,,,Oxygen,['+919706301778'],Assam,Silchar,"silchar   ; Silchar, Assam ; NA"
Dr Anirudh Pratap Singh (Physician),23-Apr-2021 4:13 PM,,,Telehealth,['+919582750805'],Assam,"Beltola, Guwahati",NA
Dr Manish Sahu (physician and chest specialist),23-Apr-2021 4:31:59 PM,,11 am to 8 PM fee: Rs 600,Telehealth,['+919953582822'],Assam,Bongaigaon,https://www.practo.com/noida/doctor/dr-manish-sahu-general-physician-general-physician/554556/consult?action_source=DoctorProfilePageAmp&type=consult?from_amp=true&fingerprint=5ca43a08-e701-4393-a431-be31a7b37485
Samarpan hospital,,,,Hospital Beds,,Bihar,,
Langar Sewa (Sukhwinder Singh(,23/4/2021 21:30,,Do not call.Whatsapp with the following information 1- Number 2- Name  3- Number Of patients 4- Address.,Food,['+919810183038'],Bihar,Patna,Gurudwara Bangla Sahib. ; NA ; NA
Satyam Kumar,,2021-04-29 08:37:14.341,Begusarai Bihar He can help with bed and oxygen. Medicine is not the right category to put him in. Please update.,Medicine,['+918298254295'],Bihar,,
Sri Oxygen- Oxygen refilling,,2021-04-29 08:39:26.737,Bhagalpur Bhagalpur Area. Oxygen refilling available. New cylinder not available.,Oxygen,['+916200878217'],Bihar,,
Lions club of Bhagalpur,,2021-04-29 10:55:38.971,Bhagalpur ,Oxygen,['+917004217597'],Bihar,,
Bravo Oxygen Bank,,2021-04-23 22:23:52.000,Champaran,Oxygen,['+917004493764'],Bihar,,
Amit Kumar Oxygen - WhatsApp only,,2021-04-29 08:41:00.707,Patna Working.,Oxygen,['+917488029777'],Bihar,,
Pataliputra Oxyzen,,2021-04-29 08:40:44.006," Not answering, was verified 24 hours ago and was working then.",Oxygen,['+917903029067'],Bihar,,
(B-type cylinder Oxygen refilling),,2021-04-29 08:39:35.866,Bhagalpur Bhagalpur Area. Oxygen refilling available. New cylinder not available.,Oxygen,['+917979773600'],Bihar,,
Yuwa Ranchit Oxygen cylinder,,2021-04-23 22:23:52.000,Bhagalpur,Oxygen,['+918210707744'],Bihar,,
Oxygen Cylinder,,2021-04-23 22:23:52.000,Patna,Oxygen,['+918368524248'],Bihar,,
Oxygen cylinder,,,,Oxygen,,Bihar,,
Oxygen,,2021-04-23 22:23:52.000,Dehri-on-sone (Sasaram),Oxygen,['+918538996422'],Bihar,,
Sujeet oxygen - Oxygen cylinder available,,2021-04-23 22:23:52.000,Bhagalpur,Oxygen,['+918756400408'],Bihar,,
amresh,,2021-04-23 22:23:52.000,patna,Oxygen,['+918797348700'],Bihar,,
sanjay sarkar,,2021-04-23 22:23:52.000,patna,Oxygen,['+918809989999'],Bihar,,
